MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.02344	s	12/20/2016 1:19:06 PM
Axial Displacement	Axial Displacement Error	Axial Extensometer	Axial Extensometer Abs. Error	Axial Force	Axial Force Abs. Error	Running Time	Time
mm	mm	mm/mm	mm/mm	N	N	s	s
-0.00095129013	0.00027197995	-7.5517164e-05	0	666.23474	0	5.8789063	5.8974609
-0.0011539459	0.00047463574	-0.0002003173	0	667.97565	0	5.9785156	5.9970703
-0.0011610985	0.0004817883	-0.00021658998	0	666.95215	0	6.078125	6.0966797
-0.00093698502	0.00025767484	-0.00019770268	0	667.05627	0	6.1777344	6.1962891
-0.0013160706	0.00063676038	-0.00015515361	0	669.24701	0	6.2773438	6.2958984
-0.0013613701	0.00068205991	-9.8894452e-05	0	667.66089	0	6.3769531	6.3955078
-0.00092744827	0.00024813809	-7.3281626e-05	0	667.93359	0	6.4765625	6.4951172
-0.0012898445	0.00061053433	-7.1834074e-05	0	666.36566	0	6.5761719	6.5947266
-0.0014472008	0.0007678906	-0.00024074543	0	666.69153	0	6.6757813	6.6943359
-0.00065088272	-2.8427457e-05	-9.9332101e-05	0	667.59424	0	6.7753906	6.7939453
-0.0011229515	0.00044364133	-0.00014744801	0	666.97736	0	6.875	6.8935547
-0.00096797943	0.00028866925	-0.00020885273	0	668.03925	0	6.9746094	6.9931641
-0.0012183189	0.00053900876	-0.00030499214	0	671.29883	0	7.0742188	7.0927734
-0.00056743622	-0.00011187396	-0.00029305229	0	674.19659	0	7.1738281	7.1923828
-0.0010323524	0.00035304227	-0.00019307081	0	673.67987	0	7.2734375	7.2919922
-0.00049114227	-0.00018816791	3.1373202e-05	0	674.88367	0	7.3730469	7.3916016
-0.00097751617	0.000298206	-0.00015868027	0	675.80127	0	7.4726563	7.4912109
-0.0010991096	0.00041979947	-2.767265e-05	0	678.68152	0	7.5722656	7.5908203
-0.00029802322	-0.00038128695	-0.00011240045	0	678.64264	0	7.671875	7.6904297
-0.0005698204	-0.00010948977	-9.502437e-05	0	679.18414	0	7.7714844	7.7900391
-0.00026702881	-0.00041228137	-4.2444299e-06	0	680.21082	0	7.8710938	7.8896484
-0.00071525574	3.5945559e-05	-0.00018607352	0	681.87512	0	7.9707031	7.9892578
-0.0014400482	0.00076073804	-0.00011542143	0	681.15125	0	8.0703125	8.0888672
0.00044822693	-0.0011275371	-0.00025632652	0	681.54254	0	8.1699219	8.1884766
-0.00097513199	0.00029582181	-8.607276e-05	0	681.99921	0	8.2695313	8.2880859
-0.00090122223	0.00022191205	-0.00012505516	0	682.77893	0	8.3691406	8.3876953
-0.00054359436	-0.00013571582	-8.4839485e-05	0	682.26318	0	8.46875	8.4873047
-0.00096321106	0.00028390088	-0.00012139099	0	682.75537	0	8.5683594	8.5869141
-0.00018596649	-0.00049334369	-9.6917574e-05	0	680.81219	0	8.6679688	8.6865234
-0.00069379807	1.4487887e-05	-0.00016065715	0	679.71844	0	8.7675781	8.7861328
-0.00056743622	-0.00011187396	-0.00010890435	0	680.06122	0	8.8671875	8.8857422
-0.00041484833	-0.00026446185	-0.00017834609	0	681.79071	0	8.9667969	8.9853516
