MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,409.35938,s,1/20/2017 16:53
Axial Displacement,Axial Displacement Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,,,
mm,mm,N,N,s,s,,,,
-2.098794,-0.000241756,-196.68237,0,42.501953,42.523438,,,,
-2.0999241,0.000298977,-201.88695,0,43.001953,43.023438,,,,
-2.0997643,-0.000458956,-207.69783,0,43.501953,43.523438,,,,
-2.1005368,-0.00029397,-210.82906,0,44.001953,44.023438,,,,
-2.1007681,-0.000679016,-215.06923,0,44.501953,44.523438,,,,
-2.1016335,-0.00043869,-216.85254,0,45.001953,45.023438,,,,
-2.1022534,-0.000453234,-227.42004,0,45.501953,45.523438,,,,
-2.1029902,-0.000359535,-233.02853,0,46.001953,46.023438,,,,
-2.103765,-0.000236988,-236.39626,0,46.501953,46.523438,,,,
-2.1043801,-0.000283003,-241.89227,0,47.001953,47.023438,,,,
-2.1044791,-0.000854254,-247.29289,0,47.501953,47.523438,,,,
-2.1053815,-0.000630856,-253.15231,0,48.001953,48.023438,,,,
-2.1068323,0.000131845,-260.16626,0,48.501953,48.523438,,,,
-2.1074843,8.68E-05,-267.91614,0,49.001953,49.023438,,,,
-2.1077609,-0.000342608,-275.92197,0,49.501953,49.523438,,,,
-2.1093178,0.000499249,-280.83643,0,50.001953,50.023438,,,,
-2.1093893,-0.000153065,-284.2962,0,50.501953,50.523438,,,,
-2.1090841,-0.001191139,-291.19809,0,51.001953,51.023438,,,,
-2.1098673,-0.001149893,-295.78845,0,51.501953,51.523438,,,,
-2.1108592,-0.000908852,-303.90631,0,52.001953,52.023438,,,,
-2.113117,0.000589132,-316.4906,0,52.501953,52.523438,,,,
-2.1134031,0.000106573,-320.28879,0,53.001953,53.023438,,,,
-2.1141827,0.00010848,-325.72495,0,53.501953,53.523438,,,,
-2.1143377,-0.00052309,-329.96494,0,54.001953,54.023438,,,,
-2.115078,-0.000578642,-335.7388,0,54.501953,54.523438,,,,
-2.1158111,-0.000649929,-343.88577,0,55.001953,55.023438,,,,
-2.1168077,-0.000466824,-353.45828,0,55.501953,55.523438,,,,
-2.1186805,0.00058341,-365.12585,0,56.001953,56.023438,,,,
-2.1187365,-0.000191927,-373.45697,0,56.501953,56.523438,,,,
-2.1201861,0.000417471,-379.15051,0,57.001953,57.023438,,,,
-2.1201408,-0.000477076,-383.48224,0,57.501953,57.523438,,,,
-2.1211064,-0.000369787,-391.33859,0,58.001953,58.023438,,,,
-2.1226561,0.000312805,-397.99011,0,58.501953,58.523438,,,,
-2.1231782,-4.12E-05,-405.68878,0,59.001953,59.023438,,,,
-2.1246696,0.000565052,-418.13074,0,59.501953,59.523438,,,,
-2.125057,5.84E-05,-424.10941,0,60.001953,60.023438,,,,
-2.1259522,5.08E-05,-433.66742,0,60.501953,60.523438,,,,
-2.1270967,0.00028348,-436.36859,0,61.001953,61.023438,,,,
-2.1272087,-0.000525236,-441.86481,0,61.501953,61.523438,,,,
-2.1288645,0.000200987,-449.76138,0,62.001953,62.023438,,,,
-2.1291924,-0.000409842,-455.72089,0,62.501953,62.523438,,,,
-2.1297312,-0.000818729,-455.39984,0,63.001953,63.023438,,,,
-2.1302724,-0.001233816,-465.15973,0,63.501953,63.523438,,,,
-2.1311879,-0.001283884,-477.79593,0,64.001953,64.023438,,,,
-2.1331894,-0.000256538,-493.88086,0,64.501953,64.523438,,,,
-2.1356559,0.001226664,-514.30396,0,65.001953,65.023438,,,,
